question_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,r1,r2,s,ground_truth
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,3.9920626,0.8346779,0.0,1.084096,3.9690976,0.71617365,0.0,0.99487257,0.20629969,0.104961544,0.0,0.104961544,3.9690976,0.71617365,0.0,0.99487257,0.6666667,0,0.6931471805599453,12.136558,4
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,1.1620303,0.0,0.0,0.0,1.1831354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1831354,0.0,0.0,0.0,0.33333334,1,0.4054651081081644,3.5283012,3
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.87369907,0.27770135,0.0,0.27770135,0.80114746,0.2833621,0.0,0.2833621,0.0383439,0.0,0.0,0.0,0.80114746,0.2833621,0.0,0.2833621,0.6666667,2,0.2876820724517809,2.5143378,2
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.74029607,0.0,0.0,0.0,0.75760585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75760585,0.0,0.0,0.0,0.33333334,3,0.22314355131420976,2.2555077,1
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.559894,0.0,0.0,0.0,0.57343847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57343847,0.0,0.0,0.0,0.33333334,4,0.18232155679395462,1.7067709,0
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.54908425,0.0,0.0,0.0,0.49581155,0.0,0.0,0.0,0.0383439,0.0,0.0,0.0,0.49581155,0.0,0.0,0.0,0.33333334,5,0.1541506798272583,1.5790513,0
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.5179948,0.0,0.0,0.0,0.5299592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299592,0.0,0.0,0.0,0.33333334,6,0.13353139262452263,1.5779133,0
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.4838472,0.0,0.0,0.0,0.49581155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49581155,0.0,0.0,0.0,0.33333334,7,0.11778303565638346,1.4754703,0
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.4140553,0.0,0.0,0.0,0.42505705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42505705,0.0,0.0,0.0,0.33333334,8,0.1053605156578263,1.2641695,0
3d97bffa-5012-4e1c-9d9b-6e8130e1d934,0.4140553,0.0,0.0,0.0,0.42505705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42505705,0.0,0.0,0.0,0.33333334,9,0.09531017980432487,1.2641695,0
